wk	weight	cum_weight
2018-12-17	1.419695717	434.9098786
2018-12-24	1.346515525	436.2563941
2018-12-31	1.30260741	437.5590015
2019-01-07	1.244063257	438.8030648
2019-01-14	1.30260741	440.1056722
2019-01-21	1.375787602	441.4814598
2019-01-28	1.375787602	442.8572474
2019-02-04	1.361151563	444.218399
2019-02-11	1.39042364	445.6088226
2019-02-18	1.448967793	447.0577904
2019-02-25	1.536784023	448.5945744
2019-03-04	1.609964215	450.2045386
2019-03-11	1.814868751	452.0194074
2019-03-18	2.063681403	454.0830888
2019-03-25	2.327130092	456.4102189
2019-04-01	2.385674246	458.7958931
2019-04-08	2.502762552	461.2986557
2019-04-15	2.517398591	463.8160543
2019-04-22	2.546670667	466.3627249
2019-04-29	2.532034629	468.8947596
2019-05-06	2.634486897	471.5292465
2019-05-13	2.722303127	474.2515496
2019-05-20	2.927207663	477.1787573
2019-05-27	2.95647974	480.135237
2019-06-03	2.971115778	483.1063528
2019-06-10	3.029659932	486.1360127
2019-06-17	3.029659932	489.1656726
2019-06-24	2.985751817	492.1514245
2019-07-01	3.000387855	495.1518123
2019-07-08	3.088204085	498.2400164
2019-07-15	3.117476162	501.3574926
2019-07-22	3.205292391	504.5627849
2019-07-29	3.21992843	507.7827134
2019-08-05	3.278472583	511.061186
2019-08-12	3.278472583	514.3396585
2019-08-19	3.234564468	517.574223
2019-08-26	3.293108621	520.8673316
2019-09-02	3.410196928	524.2775286
2019-09-09	3.527285234	527.8048138
2019-09-16	3.498013158	531.302827
2019-09-23	3.512649196	534.8154761
2019-09-30	3.351652775	538.1671289
2019-10-07	3.161384277	541.3285132
2019-10-14	2.941843702	544.2703569
2019-10-21	2.824755395	547.0951123
2019-10-28	2.590578782	549.6856911
2019-11-04	2.429582361	552.1152734
2019-11-11	2.151497633	554.2667711
2019-11-18	1.946593096	556.2133642
2019-11-25	1.74168856	557.9550527
2019-12-02	1.595328177	559.5503809
2019-12-09	1.419695717	560.9700766
2019-12-16	1.346515525	562.3165921
2019-12-23	1.419695717	563.7362879
